13dge 0.015854 75.896169 1.571493
filter Unat
2456543.70 17.60 0.07
2456546.67 16.15 0.06
2456549.67 15.51 0.05
2456558.73 15.37 0.08
2456566.64 16.02 0.03
2456574.60 16.75 0.05
2456579.68 17.60 0.06
2456591.65 18.50 0.06
filter Bnat
2456543.70 17.45 0.02
2456546.67 16.39 0.02
2456549.67 15.84 0.01
2456558.73 15.52 0.04
2456566.64 15.98 0.03
2456574.60 16.83 0.02
2456579.68 17.34 0.02
2456591.65 18.25 0.02
filter Vnat
2456543.70 17.34 0.02
2456546.67 16.38 0.02
2456549.67 15.84 0.01
2456558.73 15.44 0.04
2456566.64 15.70 0.03
2456574.60 16.04 0.02
2456579.68 16.38 0.02
2456591.65 17.11 0.02
filter R48
2456539.962 19.514 0.087
2456540.000 19.531 0.061
2456540.940 18.581 0.038
2456541.925 18.108 0.036
2456541.962 18.089 0.037
2456542.942 17.601 0.033
2456596.770 17.170 0.026
2456596.862 17.224 0.027
2456596.887 17.210 0.025
2456597.790 17.220 0.023
2456597.864 17.239 0.024
2456597.890 17.288 0.033
2456598.793 17.275 0.028
2456598.859 17.294 0.022
2456598.885 17.310 0.029
2456599.787 17.329 0.026
2456599.841 17.354 0.028
2456599.867 17.345 0.034
2456600.775 17.383 0.023
2456601.857 17.462 0.026
2456601.896 17.461 0.026
2456601.921 17.460 0.025
2456602.824 17.458 0.030
2456602.881 17.447 0.030
2456602.907 17.460 0.023
2456603.809 17.506 0.026
2456603.852 17.492 0.039
2456603.877 17.532 0.018
2456604.789 17.540 0.023
2456604.977 17.591 0.028
2456605.879 17.629 0.036
2456605.904 17.620 0.033
2456605.929 17.567 0.032
2456607.739 17.618 0.025
2456607.859 17.649 0.033
2456607.884 17.678 0.036
2456608.787 17.675 0.033
2456608.828 17.707 0.027
2456608.853 17.639 0.040
2456609.829 17.730 0.025
2456609.875 17.722 0.029
2456609.900 17.717 0.027
2456610.803 17.687 0.044
2456610.828 17.769 0.030
2456611.747 17.716 0.034
2456611.774 17.731 0.040
2456637.677 18.562 0.046
2456637.888 18.612 0.036
2456640.649 18.586 0.105
2456640.683 18.638 0.094
2456640.723 18.684 0.078
2456640.787 18.761 0.099
2456640.846 18.712 0.093
2456640.886 18.788 0.120
2456640.930 18.779 0.188
2456657.616 19.124 0.068
2456657.679 19.113 0.050
2456678.719 19.758 0.068
2456678.763 19.822 0.084
filter Rs
2456539.96228 19.51 0.04
2456539.99987 19.50 0.04
2456540.93990 18.67 0.04
2456541.92527 18.11 0.02
2456541.96221 18.06 0.01
2456542.94205 17.59 0.01
2456543.99105 17.09 0.04
2456545.90898 16.52 0.01
2456546.90588 16.27 0.01
2456546.99412 16.25 0.01
2456547.90368 16.09 0.01
2456548.90108 15.93 0.01
2456549.01502 15.93 0.01
2456549.89748 15.80 0.01
2456550.00866 15.80 0.01
2456550.89873 15.72 0.01
2456551.00529 15.73 0.01
2456551.89183 15.68 0.01
2456551.98419 15.66 0.01
2456552.01799 15.67 0.01
2456552.91999 15.62 0.01
2456552.95810 15.62 0.01
2456552.99174 15.62 0.01
2456563.86263 15.74 0.01
2456563.99648 15.74 0.01
2456564.03220 15.74 0.01
2456564.93381 15.82 0.01
2456565.01022 15.82 0.01
2456565.85377 15.87 0.01
2456566.01833 15.91 0.01
2456566.85122 15.96 0.01
2456567.00380 15.99 0.01
2456567.84889 16.04 0.01
2456567.98971 16.06 0.01
2456568.02225 16.06 0.01
2456568.92477 16.11 0.01
