13efe 0.07 130.913761 +16.177023
filter R48
56626.46125 21.30 0.28
56626.52890 20.36 0.27
56629.40536 19.79 0.20
56629.48644 19.59 0.08
56629.52604 19.53 0.06
56629.56752 18.73 0.09
56678.22321 19.42 0.06
56678.28063 19.32 0.14
56679.51534 19.66 0.09
56680.16810 19.67 0.11
56680.21398 19.57 0.06
56680.25858 19.61 0.06
56680.30124 19.69 0.06
56680.34476 19.32 0.10
56680.38803 19.68 0.07
56680.47338 19.58 0.10
56680.50972 19.48 0.07
filter rspm
56632 18.84 0.02
56635 18.50 0.01
56639 18.26 0.01
filter ispm
56632 18.98 0.02
56635 18.78 0.02
56639 18.74 0.02
filter zspm
56632 19.24 0.04
56635 18.99 0.04
56639 18.93 0.04
filter Yspm
56632 19.41 0.07
56635 19.23 0.07
56639 19.04 0.06
filter Jspm_AB
56632 20.20 0.20
56635 19.51 0.13
56639 19.76 0.15
filter Hspm_AB
56632 19.95 0.24
56635 19.64 0.13
56639 19.51 0.15
filter B60
56638.541459999979 18.403418659672 0.009289540598
56644.324440000113 18.517459357399 0.082562584027
56648.253330000211 18.374526545830 0.117425453792
56655.234230000060 19.026746427150 0.039772775174
56657.215249999892 19.340413976123 0.034666410745
56660.207059999928 19.656296272184 0.041073991404
filter i60
56638.543109999970 18.282509614001 0.010577757713
56648.254980000202 18.299488488415 0.090165561485
56655.235880000051 18.913672695210 0.022350891078
56657.216899999883 19.044548189521 0.019878332663
56660.208709999919 19.316086372466 0.030910534684
filter r60
56638.539849999826 18.373228532127 0.011051492786
56644.322829999961 18.263293027835 0.079399301378
56644.328060000204 18.334252742498 0.100351213625
56650.231089999899 18.414467903238 0.027930016411
56655.232619999908 18.705626876760 0.025788664088
56657.213630000129 18.886636582485 0.018103775719
56660.205440000165 18.986474314364 0.017521437509
filter g60
56638.543109999970 18.282509614001 0.010577757713
56648.254980000202 18.299488488415 0.090165561485
56655.235880000051 18.913672695210 0.022350891078
56657.216899999883 19.044548189521 0.019878332663
56660.208709999919 19.316086372466 0.030910534684
