SN2014J 0.000677 148.925904 69.674044
filter Unat
56685.02 12.550 0.013
56686.12 12.505 0.023
56692.91 12.648 0.026
56694.93 12.805 0.073
56696.91 12.907 0.020
56697.99 13.014 0.017
56698.93 13.104 0.058
56708.06 14.149 0.031
56712.19 14.632 0.036
56721.07 15.400 0.028
56728.12 15.719 0.036
56736.02 15.918 0.034
56742.01 15.888 0.098
56764.96 16.462 0.034
56772.96 16.578 0.038
56778.89 16.742 0.028
56800.90 17.309 0.042
56816.42 17.711 0.056
56835.45 18.158 0.052
filter Bnat
56685.02 12.059 0.018
56686.12 12.005 0.020
56688.23 11.889 0.027
56690.23 11.907 0.024
56692.91 11.954 0.019
56694.93 12.041 0.019
56696.91 12.141 0.019
56697.99 12.208 0.014
56698.93 12.284 0.018
56708.06 13.177 0.019
56712.19 13.513 0.024
56721.07 14.186 0.017
56728.12 14.660 0.025
56736.02 14.830 0.016
56742.01 14.843 0.041
56764.96 15.201 0.028
56772.96 15.288 0.018
56778.89 15.378 0.014
56787.88 15.521 0.020
56800.90 15.697 0.019
56816.42 15.943 0.024
56835.45 16.134 0.027
56906.72 17.157 0.111
56948.68 17.704 0.117
56972.24 18.170 0.036
56986.23 18.352 0.052
57035.67 19.054 0.144
filter Vnat
56685.02 10.966 0.018
56686.12 10.885 0.020
56688.23 10.727 0.027
56690.23 10.719 0.024
56692.91 10.704 0.019
56694.93 10.757 0.019
56696.91 10.812 0.019
56697.99 10.877 0.014
56698.93 10.907 0.018
56708.06 11.452 0.019
56712.19 11.580 0.024
56721.07 11.977 0.017
56728.12 12.479 0.025
56736.02 12.740 0.016
56742.01 12.885 0.041
56764.96 13.545 0.028
56772.96 13.729 0.018
56778.89 13.914 0.014
56787.88 14.121 0.020
56800.90 14.440 0.019
56816.42 14.779 0.024
56835.45 15.161 0.027
56906.72 16.336 0.111
56948.18 16.937 0.117
56972.24 17.367 0.036
56986.23 17.564 0.052
57035.67 18.209 0.145
filter Rnat
56685.02 10.341 0.009
56686.12 10.297 0.011
56688.23 10.175 0.023
56690.23 10.154 0.011
56692.91 10.234 0.022
56694.93 10.208 0.026
56696.91 10.250 0.023
56697.99 10.396 0.019
56698.93 10.473 0.029
56708.06 10.836 0.016
56712.19 10.908 0.029
56721.07 11.125 0.005
56728.12 11.670 0.014
56736.02 12.002 0.012
56742.01 12.177 0.031
56764.96 12.922 0.014
56772.96 13.134 0.011
56778.89 13.362 0.010
56800.90 13.949 0.009
56816.42 14.392 0.013
56835.45 14.817 0.019
56906.72 16.320 0.063
56948.18 16.933 0.082
56972.24 17.464 0.021
56986.23 17.599 0.041
57035.67 18.393 0.093
filter Inat
56685.02 10.008 0.009
56686.12 9.9285 0.011	
56688.23 9.9797 0.023
56690.23 9.9838 0.011
56692.91 10.078 0.022
56694.93 10.164 0.026
56696.91 10.217 0.023
56697.99 10.302 0.019
56698.93 10.356 0.029
56708.06 10.580 0.016
56712.19 10.432 0.029
56721.07 10.450 0.005
56728.12 10.927 0.014
56736.02 11.352 0.012
56742.01 11.562 0.031
56764.96 12.534 0.014
56772.96 12.834 0.011
56778.89 13.027 0.010
56800.90 13.737 0.009
56816.42 14.170 0.013
56835.45 14.572 0.019
56948.18 16.042 0.082	
56972.24 16.403 0.021
56986.23 16.489 0.041
57035.67 16.945 0.087	
57057.59 17.347 0.406
filter J
56679.77 9.94 0.06
56680.83 9.70 0.03
56681.79 9.61 0.04
56682.76 9.53 0.03
56683.75 9.45 0.03
56684.71 9.45 0.07
56685.74 9.40 0.07
56686.76 9.41 0.03
56687.78 9.46 0.04
56690.78 9.63 0.04
56691.78 9.69 0.03
56692.79 9.92 0.03
56694.78 9.92 0.03
56695.78 10.06 0.02
56696.74 10.12 0.03
56697.74 10.34 0.03
56699.75 10.68 0.02
56700.75 10.91 0.04
56703.84 11.13 0.03
56704.86 11.15 0.03
56705.87 11.25 0.04
56706.78 11.18 0.03
56707.83 11.21 0.03
56709.75 11.15 0.02
56717.73 10.64 0.03
56719.73 10.57 0.03
56729.71 11.10 0.03
56736.71 11.55 0.03
56741.71 12.05 0.04
56744.71 11.98 0.05
56746.73 12.20 0.05
56750.70 12.30 0.05
56751.70 12.51 0.05
56760.69 12.91 0.06
56763.96 13.57 0.07
56767.69 13.12 0.05
56768.69 13.16 0.05
56775.68 13.40 0.06
56796.89 14.65 0.02
filter H
56679.76 9.83 0.06
56680.85 9.70 0.03
56681.82 9.67 0.04
56682.79 9.57 0.03
56683.76 9.57 0.04
56684.72 9.48 0.08
56685.74 9.54 0.07
56686.77 9.59 0.03
56687.80 9.58 0.04
56690.78 9.73 0.05
56691.78 9.75 0.05
56692.79 9.72 0.05
56694.80 9.68 0.05
56695.80 9.77 0.04
56696.75 9.77 0.04
56697.77 9.82 0.04
56699.77 9.80 0.05
56700.99 9.85 0.04
56703.86 9.79 0.04
56704.87 9.76 0.04
56705.88 9.82 0.05
56706.78 9.74 0.04
56707.85 9.71 0.03
56709.76 9.68 0.03
56717.74 9.52 0.04
56719.74 9.56 0.04
56729.72 10.05 0.04
56736.72 10.30 0.04
56741.72 10.68 0.04
56744.72 10.50 0.05
56746.74 10.89 0.05
56750.71 10.70 0.04
56751.71 11.05 0.05
56760.70 11.45 0.04
56763.96 11.70 0.07
56767.70 11.55 0.04
56768.70 11.60 0.05
56775.69 11.97 0.05
56796.89 12.89 0.02
filter K
56679.86 9.80 0.08
56680.88 9.53 0.06
56681.85 9.48 0.07
56682.82 9.40 0.05
56683.77 9.36 0.05
56684.72 9.27 0.10
56685.75 9.27 0.09
56686.77 9.25 0.04
56687.80 9.25 0.06
56691.78 9.35 0.07
56692.79 9.41 0.08
56694.81 9.41 0.07
56695.81 9.44 0.06
56696.77 9.45 0.06
56697.79 9.52 0.05
56699.79 9.48 0.06
56700.77 9.52 0.08
56703.87 9.56 0.07
56704.87 9.58 0.06
56705.88 9.54 0.06
56706.78 9.55 0.05
56707.85 9.58 0.05
56709.77 9.54 0.04
56717.75 9.50 0.04
56719.75 9.55 0.04
56729.73 10.18 0.04
56736.73 10.35 0.04
56741.73 10.65 0.04
56744.73 10.65 0.04
56746.75 10.73 0.05
56750.72 10.98 0.05
56751.72 10.90 0.05
56760.72 11.35 0.05
56763.96 11.71 0.05
56767.71 11.45 0.05
56768.71 11.54 0.06
56775.71 11.65 0.06
56796.89 12.61 0.03
filter Us
56678.91 13.15 0.003
56681.80 12.59 0.003
56682.66 12.45 0.002
56683.70 12.38 0.010
56684.68 12.35 0.006
56686.70 12.32 0.022
56692.01 12.47 0.002
56692.69 12.49 0.011
56697.66 12.72 0.012
56700.61 12.92 0.037
56701.60 13.08 0.014
56702.67 13.12 0.020
56703.59 13.28 0.016
56710.93 14.17 0.050
56714.94 14.42 0.119
56716.93 14.11 0.029
56718.73 14.87 0.032
filter Bs
56678.89 12.95 0.010
56681.80 12.33 0.011
56682.67 12.24 0.011
56683.70 12.10 0.027
56684.68 12.05 0.005
56686.70 11.91 0.009
56687.70 11.87 0.013
56688.68 11.89 0.007
56692.02 11.92 0.003
56692.69 11.96 0.004
56696.96 12.16 0.005
56697.67 12.21 0.006
56700.61 12.48 0.011
56701.60 12.57 0.004
56702.67 12.68 0.006
56703.59 12.83 0.006
56710.93 13.51 0.011
56714.94 14.00 0.011
filter Vs
56678.89 11.77 0.071
56681.80 11.11 0.012
56682.67 10.98 0.005
56683.70 10.86 0.007
56684.68 10.81 0.004
56686.70 10.68 0.015
56687.70 10.62 0.011
56688.68 10.60 0.016
56692.02 10.58 0.021
56692.69 10.59 0.002
56696.96 10.73 0.006
56697.67 10.83 0.012
56700.62 10.88 0.026
56701.61 10.96 0.007
56702.67 11.05 0.014
56703.59 11.12 0.001
56710.93 11.40 0.006
56714.94 11.59 0.010
56716.94 11.68 0.005
56718.73 11.93 0.031
filter Rs
56678.90 11.02 0.027
56681.81 10.43 0.009
56682.67 10.32 0.011
56683.70 10.25 0.013
56684.69 10.20 0.013
56686.70 10.12 0.004
56687.71 10.08 0.001
56688.68 10.03 0.017
56692.02 10.07 0.004
56692.69 10.08 0.011
56696.97 10.22 0.024
56697.67 10.26 0.013
56700.62 10.50 0.017
56701.61 10.59 0.011
56702.67 10.60 0.018
56703.59 10.65 0.006
56710.93 10.81 0.123
56714.94 10.79 0.009
56716.94 10.84 0.008
56718.73 10.91 0.004
filter Is
56678.87 10.62 0.010
56681.81 10.02 0.003
56682.67 9.92 0.003
56683.70 9.90 0.022
56684.69 9.83 0.004
56686.72 9.83 0.003
56687.71 9.74 0.003
56688.68 9.83 0.006
56692.02 9.92 0.015
56692.70 9.94 0.009
56696.97 9.98 0.020
56697.67 10.11 0.012
56700.62 10.34 0.005
56701.61 10.36 0.008
56702.67 10.38 0.013
56703.60 10.39 0.007
56710.93 10.23 0.009
56714.94 10.19 0.015
56716.94 10.13 0.005
filter Bkait
56679.369 12.966 0.022
56680.366 12.695 0.012
56682.328 12.329 0.009
56683.374 12.209 0.008
56684.357 12.105 0.010
56689.393 11.888 0.011
56690.301 11.860 0.008
56700.431 12.408 0.019
56701.304 12.426 0.018
56702.293 12.513 0.019
56703.344 12.625 0.013
56705.331 12.850 0.010
56706.322 12.932 0.009
56708.267 13.105 0.011
56709.340 13.208 0.009
56710.291 13.280 0.022
56711.248 13.347 0.014
56712.256 13.442 0.016
56713.295 13.539 0.017
56714.260 13.607 0.036
56719.365 14.073 0.014
56721.273 14.181 0.015
56723.249 14.296 0.011
56724.248 14.335 0.013
56725.249 14.361 0.025
56727.252 14.341 0.027
56728.222 14.425 0.015
56729.271 14.527 0.014
56730.236 14.549 0.016
56731.272 14.596 0.017
56733.285 14.603 0.018
56735.279 14.680 0.016
56737.249 14.722 0.045
56739.286 14.727 0.013
56740.261 14.716 0.020
56741.243 14.768 0.015
56744.316 14.779 0.036
56753.275 14.976 0.017
56755.258 14.942 0.019
56757.254 14.973 0.018
56759.269 15.049 0.143
56761.290 15.044 0.018
56763.278 15.060 0.022
56765.254 15.074 0.018
56767.262 15.055 0.020
filter Vkait
56679.369 11.721 0.018
56680.367 11.482 0.013
56682.329 11.129 0.013
56683.375 11.000 0.012
56684.358 10.892 0.012
56689.394 10.621 0.017
56690.301 10.601 0.012
56700.428 10.975 0.037
56701.304 10.948 0.018
56702.293 10.996 0.024
56703.345 11.104 0.013
56705.332 11.228 0.014
56706.323 11.280 0.012
56708.266 11.330 0.012
56709.341 11.390 0.012
56710.292 11.412 0.026
56711.248 11.430 0.016
56712.257 11.469 0.025
56713.296 11.517 0.022
56714.261 11.565 0.021
56719.366 11.848 0.014
56721.270 11.954 0.017
56723.250 12.064 0.009
56724.248 12.122 0.011
56725.250 12.146 0.018
56726.298 12.189 0.139
56727.251 12.227 0.008
56728.223 12.296 0.008
56729.271 12.364 0.012
56730.236 12.393 0.011
56731.273 12.457 0.016
56733.285 12.490 0.013
56735.280 12.580 0.014
56737.250 12.671 0.024
56739.287 12.706 0.011
56740.260 12.688 0.011
56741.244 12.752 0.011
56744.317 12.820 0.018
56753.276 13.115 0.018
56755.258 13.140 0.010
56757.254 13.184 0.017
56759.268 13.252 0.042
56761.291 13.308 0.011
56763.279 13.356 0.014
56765.255 13.377 0.009
56767.262 13.373 0.013
filter Rkait
56679.370 11.105 0.021
56680.367 10.859 0.013
56682.329 10.527 0.016
56683.375 10.412 0.020
56684.358 10.331 0.017
56689.394 10.141 0.018
56690.302 10.124 0.012
56700.418 10.536 0.025
56701.306 10.591 0.024
56702.294 10.652 0.030
56703.346 10.735 0.017
56705.332 10.816 0.017
56706.323 10.846 0.017
56708.267 10.827 0.015
56709.341 10.863 0.014
56710.292 10.839 0.029
56711.249 10.832 0.021
56712.258 10.841 0.031
56713.296 10.871 0.031
56714.261 10.902 0.022
56719.364 11.064 0.013
56721.271 11.158 0.020
56723.251 11.269 0.009
56724.249 11.336 0.015
56725.250 11.369 0.021
56726.298 11.374 0.094
56727.252 11.456 0.008
56728.224 11.562 0.007
56729.272 11.614 0.010
56730.237 11.662 0.012
56731.274 11.739 0.021
56733.286 11.779 0.016
56735.281 11.874 0.017
56737.250 11.984 0.026
56739.287 12.030 0.015
56740.260 12.040 0.012
56741.244 12.103 0.018
56744.318 12.178 0.024
56753.277 12.505 0.014
56755.259 12.542 0.014
56757.255 12.608 0.019
56759.269 12.679 0.036
56761.291 12.737 0.012
56763.280 12.807 0.024
56765.256 12.819 0.010
56767.263 12.824 0.013
filter Ikait
56679.370 10.626 0.026
56680.367 10.358 0.015
56682.330 10.041 0.021
56683.376  9.911 0.024
56684.359  9.833 0.021
56689.395  9.768 0.025
56690.302  9.787 0.014
56700.418 10.302 0.042
56701.302 10.298 0.030
56702.296 10.337 0.037
56703.346 10.380 0.021
56705.333 10.388 0.018
56706.324 10.390 0.025
56708.267 10.307 0.015
56709.341 10.291 0.016
56710.293 10.231 0.034
56711.249 10.223 0.022
