SN lmass
##lmass: "best value" from gi sdss, gi panstarrs, Kext, spit, M1 or Chang+2015...
#######################
##  Missing
#PTF10qyx
#SN2008ha
#SN2007if
########## J20 sdss,ps1,k,chang
#SN2012cg  5.08 -99 8.96  7.00
SN2012cu 10.04
SN2012bm 10.84
iPTF13dzm 10.25
iPTF14ale 11.36
#SN1998bu
#SN2011fe
#SN2012fr
SN1981B 10.47
SN1990N 10.14
SN1994ae 9.69
SN1995al 9.87
SN1998aq 9.71
SN2001el 10.69
SN2002fk 9.94
SN2003du 8.60
#SN2005cf
#SN2007sr 10.05
#SN2011by 9.28
SN2012ht 8.06
#SN2013dy
#SN2015F
###Pan 2020
SN2012cg 8.467
#SN2012bh_PTF12bok 10.538
#SN2011by 9.354
#SN2011ao 9.877
#SN2009an_PTF09c 10.981
#SN2009ig 10.454
#SN2010ex 10.089
#SN2010iw 9.731
#######################
####  CSP hosts
#2011iv same host as 07on...
SN2011iv 11.17
SN2009cz 10.97
SN2009P  10.06
SN2008ha -99.00
SN2008fw 10.81
SN2008fr  8.42
SN2008fp 10.24
SN2008ff 10.81
SN2008cf 9.05
SN2008cd 10.18
SN2008bq 11.10
SN2008bf 11.16
SN2008bc 10.03
SN2007ux 10.52
SN2007sr 10.05
SN2007mm 10.27
SN2007jh 11.19
SN2007jg 9.04
SN2007jd 10.17
SN2007hx 10.77
SN2007ca 9.93
SN2007as 10.34
SN2007ai 11.03
SN2007N 10.21
SN2006py 10.09
SN2006ot 11.41
SN2006is 7.45
SN2006hx 10.46
SN2006hb 10.95
SN2006fw  9.86
SN2006ej 10.78
SN2006bt 11.19
SN2005ku  9.83
SN2005ir 10.20
SN2005hj  9.66
SN2005gj  7.75
SN2005ag 10.77
SN2004gu 10.43
SN2004gc 10.51
SN2004dt 10.84
SN2004ef 10.91
SN2004eo 11.17
SN2004ey 10.30
SN2004gs 10.93
SN2005A 11.20
SN2005M  8.40
SN2005W 10.75
SN2005al 10.88
SN2005am 11.51
SN2005be 10.79
SN2005bg 10.12
SN2005bl 11.25
SN2005bo 10.50
SN2005el 10.91
SN2005eq 10.88
SN2005hc 10.70
SN2005hk  9.42
SN2005iq 10.34
SN2005kc 10.97
SN2005ke 10.90
SN2005ki 11.18
SN2005lu 10.49
SN2005mc 10.84
SN2005na 11.08
SN2006D 9.92
SN2006X 10.81
SN2006ax 10.81
SN2006bd 10.90
SN2006bh 10.79
SN2006br 10.96
SN2006dd 11.57
SN2006ef 10.72
SN2006eq 10.39
SN2006et 11.04
SN2006ev 11.05
SN2006gj 11.96
SN2006gt 10.24
SN2006kf 10.93
SN2006lu 10.47
SN2006mr 11.57
SN2006ob 11.46
SN2006os 11.02
#SN2006py 10.09
SN2007A 10.62
SN2007S  9.93
SN2007af  9.49
SN2007al 9.50
SN2007ax 10.35
SN2007ba 11.17
SN2007bc 10.97
SN2007bd 10.89
SN2007bm 10.23
SN2007cg 10.64
SN2007hj 10.53
SN2007if -99.00
SN2007le 10.35
SN2007nq 11.37
